
title,category,subcategory,region,subRegion,location,notes,_sheet,slug,tags,prerequisites,weight
"Storehouse, Loft",SoG/Location,' ',Shadow Keep,,,Return to the previous room and look for a hole in the wall on the Southeast side of this floor and go through it. Turn right. Continue up the ramps and stairs to find this SoG,Shadow of the Erdtree,storehouse-loft-shadow-keep,shadow-of-the-erdtree,' ',1.0
Wrath from Afar,Incantation,' ',Shadow Keep,,,"Take the lift up. Move along the rafters Northwest and go up the ladder. Continue along the rafters Southeast, then turn left at the last rafter. Look to your right and there will be a giant gear you can jump to",Shadow of the Erdtree,wrath-from-afar-shadow-keep,shadow-of-the-erdtree,' ',1.0
Fire Knight Hilde,Spirit Ashes,' ',Shadow Keep,,,"Jump to the rafter to the North, then continue up the ladder. Turn left, then right along the rafters and activate the lift but DO NOT get in it. Instead, once the two lifts switch places, activate the one on the right and then jump on top of the one on the left as it is coming back up. Find this on the small ledge near the roof of this lift",Shadow of the Erdtree,fire-knight-hilde-shadow-keep,shadow-of-the-erdtree,' ',1.0
"Shadow Keep, Back Gate",SoG/Location,' ',Shadow Keep,,,"Jump back to the rafter. Head toward the Northwest and take the ladder on your left down. Head Northeast along this rafter and take the next ladder down. Head out the door to the North, turn right, and take the next lift toward the East. Follow the wood platforms down and take the next lift on the left. Find this SoG in the next room",Shadow of the Erdtree,shadow-keep-back-gate-shadow-keep,shadow-of-the-erdtree,' ',1.0
Secret Door,Secret,' ',Shadow Keep,,,Perform the O Mother statue in front of the Marika statue and it will unlock and hidden door. This leads to the Hinterland SoG but we will return here later,Shadow of the Erdtree,secret-door-shadow-keep,shadow-of-the-erdtree,' ',1.0
Hornsent,Summon,' ',Shadow Keep,,,Found outside the boss arena. NOTE: This will not be available if you sided with Leda and killed Hornsent,Shadow of the Erdtree,hornsent-shadow-keep,shadow-of-the-erdtree,' ',1.0
Messmer the Impaler,Boss,' ',Shadow Keep,,,Return to Dark Chamber Entrance SoG and continue through the door to fight this boss. Drops the Remembrance of the Impaler and Messmer's Kindling,Shadow of the Erdtree,messmer-the-impaler-shadow-keep,shadow-of-the-erdtree,' ',1.0
"Swordhand of Night, Jolan",Summon,' ',Shadow Keep,,,Found inside the boss arena,Shadow of the Erdtree,swordhand-of-night-jolan-shadow-keep,shadow-of-the-erdtree,' ',1.0
Remembrance of the Impaler,Remembrance,' ',Shadow Keep,,,"Dropped by Messmer the Impaler in Shadow Keep. NOTE: DO NOT DUPLICATE THIS REMEMBRANCE. The boss is required for the second playthrough, so there is no reason to duplicate this on your first playthrough unless you intend to fight every remembrance boss on both playthroughs",Shadow of the Erdtree,remembrance-of-the-impaler-shadow-keep,shadow-of-the-erdtree,' ',1.0
Messmer's Kindling,Key Item,' ',Shadow Keep,,,Dropped by Messmer the Impaler in Shadow Keep,Shadow of the Erdtree,messmer-s-kindling-shadow-keep,shadow-of-the-erdtree,' ',1.0
Messmer's Dark Chamber,SoG/Location,' ',Shadow Keep,,,Found in Messmer's boss arena after defeating him,Shadow of the Erdtree,messmer-s-dark-chamber-shadow-keep,shadow-of-the-erdtree,' ',1.0
Message from Leda,Key Item,' ',Scadu Altus,,,Return to the Highroad Cross SoG and find this letter,Shadow of the Erdtree,message-from-leda-scadu-altus,shadow-of-the-erdtree,' ',1.0
Recluses' River,Checkpoint,' ',,,Recluses' River,Begin this section by returning to the Castle Watering Hole SoG near Shadow Keep,Shadow of the Erdtree,recluses-river-recluses-river,shadow-of-the-erdtree,' ',1.0
Furnace Golem,Enemy,' ',,,Recluses' River,"From the Castle Watering Hole SoG, head Southeast to find this Furnace Golem wandering. Kill it for the Oil Soaked Tear",Shadow of the Erdtree,furnace-golem-recluses-river,shadow-of-the-erdtree,' ',1.0
Oil-Soaked Tear,Crystal Tear,' ',,,Recluses' River,Dropped by the wandering Furnace Golem in the beginning of the Recluses' River,Shadow of the Erdtree,oil-soaked-tear-recluses-river,shadow-of-the-erdtree,' ',1.0
Awakening the Furnace Golem,Event,' ',,,Recluses' River,"Crafter a Hefty Furnace Pot (you will have gotten the cookbook for this already if you followed the guide). Climb the top of the ruins near the Furnace Golem and throw the Hefty Furnace Pot into the ""cage"" of the Furnace Golem's head",Shadow of the Erdtree,awakening-the-furnace-golem-recluses-river,shadow-of-the-erdtree,' ',1.0
Bloodsucking Cracked Tear,Crystal Tear,' ',,,Recluses' River,Dropped by the Furnace Golem in the Recluses' River,Shadow of the Erdtree,bloodsucking-cracked-tear-recluses-river,shadow-of-the-erdtree,' ',1.0
Ruins of Unte,SoG/Location,' ',,,Recluses' River,Found to the East of the Castle Watering Hole SoG,Shadow of the Erdtree,ruins-of-unte-recluses-river,shadow-of-the-erdtree,' ',1.0
Giant Golden Arc,Incantation,' ',,,Ruins of Unte,Found in the room in the Ruins of Unte,Shadow of the Erdtree,giant-golden-arc-ruins-of-unte,shadow-of-the-erdtree,' ',1.0
Altar of Darkness,Event,' ',,,Ruins of Unte,"Found inside the Ruins of Unte. If you found the Stone-Sheathed Sword in Fog Rift Catacombs, you will have an option to ""Raise the Sword"" and create the Sword of Darkness. NOTE: Once you find the Altar of Light later in this guide, you can come back to either altar and convert the sword to Light or Dark. If you would like both swords at once, you will need to obtain another Stone-Sheathed Sword on NG+",Shadow of the Erdtree,altar-of-darkness-ruins-of-unte,shadow-of-the-erdtree,' ',1.0
Sword of Darkness,Straight Sword,' ',,,Ruins of Unte,Received from interacting with the Altar of Darkness in the Ruins of Unte,Shadow of the Erdtree,sword-of-darkness-ruins-of-unte,shadow-of-the-erdtree,' ',1.0
Revered Spirit Ashes,Key Item,' ',,,Recluses' River,Go back behind the Ruins of Unte and find this on an altar,Shadow of the Erdtree,revered-spirit-ashes-recluses-river,shadow-of-the-erdtree,' ',1.0
Recluses' River Upstream,SoG/Location,' ',,,Recluses' River,Continue South along the rock face. You will find this next to a cliff ledge,Shadow of the Erdtree,recluses-river-upstream-recluses-river,shadow-of-the-erdtree,' ',1.0
Scadutree Fragment,SoG/Location,' ',,,Recluses' River,"Head South along the ledges. Jump across to the ledge on your left and head Northwest. At the end of this path, look to the North and jump to the closest stone pillar. Carefully descend to the next highest point, and then jump down to the water. Head North and find this on a stone coffin near the base of the waterfall",Shadow of the Erdtree,scadutree-fragment-recluses-river,shadow-of-the-erdtree,' ',1.0
Recluses' River Downstream,SoG/Location,' ',,,Recluses' River,"Make your way back around the canyon, and head toward the South along a new path. Look to your left to find a ledge you can jump down to that has this SoG",Shadow of the Erdtree,recluses-river-downstream-recluses-river,shadow-of-the-erdtree,' ',1.0
Moldmonger's Bell Bearing,Bell Bearing,' ',,,Recluses' River,"Once at the Recluses' River Downstream SoG, look to the Northeast and find a pot hanging from a rope in the rock face. Shoot it down",Shadow of the Erdtree,moldmonger-s-bell-bearing-recluses-river,shadow-of-the-erdtree,' ',1.0
Dryleaf Seal,Seal,' ',,,Recluses' River,"Head North through the gap in the rock face, then turn toward the Northeast. Head around the Canyon to the other side, and look for a ledge to drop to for this",Shadow of the Erdtree,dryleaf-seal-recluses-river,shadow-of-the-erdtree,' ',1.0
Dryleaf Set,Armor Set,' ',,,Recluses' River,Continue down the ledges and to the base of the second waterfall. Find this set underneath it,Shadow of the Erdtree,dryleaf-set-recluses-river,shadow-of-the-erdtree,' ',1.0
Village of Flies,SoG/Location,' ',,,Recluses' River,Return to the Recluses' River Downstream SoG. Head South and down some ledges. Keep an eye out on your right for a path you can take through the rock face. Continue up the hill through this path to find this location,Shadow of the Erdtree,village-of-flies-recluses-river,shadow-of-the-erdtree,' ',1.0
Man-Fly Ashes,Spirit Ashes,' ',,,Village of Flies,Found on an altar in the VIllage of Flies,Shadow of the Erdtree,man-fly-ashes-village-of-flies,shadow-of-the-erdtree,' ',1.0
Revered Spirit Ashes,Key Item,' ',,,Village of Flies,Head to the furthest point West in the Village of Flies to find this on an altar,Shadow of the Erdtree,revered-spirit-ashes-village-of-flies,shadow-of-the-erdtree,' ',1.0
Eastern Nameless Mausoleum,SoG/Location,' ',,,Recluses' River,Head into the cave to the Northeast and follow this path. You will eventually find this Mausoleum to the left of another waterfall,Shadow of the Erdtree,eastern-nameless-mausoleum-recluses-river,shadow-of-the-erdtree,' ',1.0
Rakshasa,Boss,' ',,,Eastern Nameless Mausoleum,Found inside the Eastern Nameless Mausoleum. Drops the Rakshasa Set and the Rakshasa's Great Katana,Shadow of the Erdtree,rakshasa-eastern-nameless-mausoleum,shadow-of-the-erdtree,' ',1.0
Rakshasa's Set,Armor Set,' ',,,Eastern Nameless Mausoleum,Dropped by the Rakshasa boss in the Eastern Nameless Mausoleum,Shadow of the Erdtree,rakshasa-s-set-eastern-nameless-mausoleum,shadow-of-the-erdtree,' ',1.0
Rakshasa's Great Katana,Great Katana,' ',,,Eastern Nameless Mausoleum,Dropped by the Rakshasa boss in the Eastern Nameless Mausoleum,Shadow of the Erdtree,rakshasa-s-great-katana-eastern-nameless-mausoleum,shadow-of-the-erdtree,' ',1.0
Darklight Catacombs,SoG/Location,' ',,,Recluses' River,"Head back toward the West, and then look for the ledges that lead further down to the South. Continue as the path curves Southeast and then East, and continue dropping down ledges. You will eventually drop to a graveyard in a forest. Continue Northeast to find this in the rockface through a set of doors. Continue in and down the lift to find the SoG",Shadow of the Erdtree,darklight-catacombs-recluses-river,shadow-of-the-erdtree,' ',1.0
Lever 1,Event,' ',,,Darklight Catacombs,"Head North, then turn right, and then turn left. Follow the path into a new room. At the bottom of the stairs, turn around to your right and go through the next tunnel. Pull this lever",Shadow of the Erdtree,lever-1-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Viridian Amber Medallion +3,Talisman,' ',,,Darklight Catacombs,Go back through the tunnel and through the door on your right. Jump down to your right to a narrow ledge. Follow this around to a broken portion of ledge and drop down again. Jump up to the room and find this in a chest,Shadow of the Erdtree,viridian-amber-medallion-3-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Lever 2,Event,' ',,,Darklight Catacombs,"Return out the doorway and drop down to the stone bridge below. Continue down the bridge and through the tunnel to the lift. At the bottom, continue North and down the stairs to your right. Follow toward the back of the room, and look for a ladder leading up between the two square stone pillars. Turn right at the top and drop down to find this lever in the room",Shadow of the Erdtree,lever-2-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Death Knight Set,Armor Set,' ',,,Darklight Catacombs,Drop down to the stairwell below. Go up the stairs and look for a broken portion of railing to your right just at the top. Drop down and turn around to go into another room. Find this set on the corpse near the ledge,Shadow of the Erdtree,death-knight-set-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Lever 3,Event,' ',,,Darklight Catacombs,"Go back through the doorway and down the ladder in the South of this room. Head through the doorway, then drop down the ledge to the bottom of this room. Head through the tunnel in the East of this room and head down the lift. Continue East and down the stairs. Continue to the East in this large room and turn left. Follow this through a larger doorway to find the third lever",Shadow of the Erdtree,lever-3-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Great Ghost Glovewort,Upgrade Mat,' ',,,Darklight Catacombs,"Upon pulling the third lever, the square platform you passed with the large big mouth imp will drop. Kill this to receive the Great Ghost Glovewort",Shadow of the Erdtree,great-ghost-glovewort-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Bigmouth Imp Ashes,Spirit Ashes,' ',,,Darklight Catacombs,Drop to the South where the square platform was and head into the room. Found in a chest,Shadow of the Erdtree,bigmouth-imp-ashes-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
"Jori, Elder Inquisitor",Boss,' ',,,Darklight Catacombs,Head up the ladder in the room with the chest. Continue down the corridor and then drop down. Head South and down a lift. Continue South to find this boss. Drops the Barbed Staff-Spear,Shadow of the Erdtree,jori-elder-inquisitor-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Barbed Staff-Spear,Great Spear,' ',,,Darklight Catacombs,"Dropped by Jori, Elder Inquisitor",Shadow of the Erdtree,barbed-staff-spear-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Forsaken Graveyard,SoG/Location,' ',,,Darklight Catacombs,"Found after defeating Jori, Elder Inquisitor",Shadow of the Erdtree,forsaken-graveyard-darklight-catacombs,shadow-of-the-erdtree,' ',1.0
Abyssal Woods,Checkpoint,' ',,,Abyssal Woods,Begin this area by heading South from the Forsaken Graveyard SoG,Shadow of the Erdtree,abyssal-woods-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Woodland Trail,SoG/Location,' ',,,Abyssal Woods,Continue South from the Forsaken Graveyard SoG and you will find this SoG along the path,Shadow of the Erdtree,woodland-trail-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Madding Hand,Enemy,' ',,,Abyssal Woods,Follow the path South/Southeast and you will find this enemy stalking the woods. Drops the Madding Hand,Shadow of the Erdtree,madding-hand-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Map: Abyss,Map,' ',,,Abyssal Woods,Continue Southeast along the path and you will come up to this map on a pillar,Shadow of the Erdtree,map-abyss-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Church Ruins,SoG/Location,' ',,,Abyssal Woods,Just beyond the Map: Abyssal Woods location,Shadow of the Erdtree,church-ruins-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Scadutree Fragment,Key Item,' ',,,Abyssal Woods,Found in the Church Ruins in the Abyssal Woods. Two are found here,Shadow of the Erdtree,scadutree-fragment-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Frenzy Flame Perfume Bottle,Perfume Bottle,' ',,,Abyssal Woods,Found behind a pillar in the Church Ruins in the Abyssal Woods,Shadow of the Erdtree,frenzy-flame-perfume-bottle-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Aged One,Enemy,' ',,,Abyssal Woods,"From the Church Ruins, head West. Eventually, you will want to start making your way North and look for a branching path. Take the West path and you will find this in a pool of water. NOTE: There are several of these in the woods, but only this specific one drops the Aged One's Exultation Talisman. You have to parry these and then you can hurt them",Shadow of the Erdtree,aged-one-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Aged One's Exultation,Talisman,' ',,,Abyssal Woods,Dropped by the Aged One enemy specified above,Shadow of the Erdtree,aged-one-s-exultation-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Abyssal Woods (SoG),SoG/Location,' ',,,Abyssal Woods,"Return to the Woodland Trail SoG, then head West until you find this SoG",Shadow of the Erdtree,abyssal-woods-sog-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Divided Falls,SoG/Location,' ',,,Abyssal Woods,Head West from the Abyssal Woods SoG. You will come to a body of water with two waterfalls to the West of it. Look for the SoG to the right,Shadow of the Erdtree,divided-falls-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Mad Craftsman's Cookbook 1,Cookbook,' ',,,Abyssal Woods,"From the Divided Falls SoG, head South. Look for a hill on your right and head up. Eventually you will find this near the cliff edge on a corpse",Shadow of the Erdtree,mad-craftsman-s-cookbook-1-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Mad Craftsman's Cookbook 2,Cookbook,' ',,,Abyssal Woods,"Return to the Divided Falls SoG, and head Southeast. Continue under a large stone platform. And past that, curve to the Southwest. Turn left near the rock face and go up the hill East. Continue going and you will come up to a large tree with this to the right",Shadow of the Erdtree,mad-craftsman-s-cookbook-2-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Midra's Manse,SoG/Location,' ',,,Abyssal Woods,"From the Mad Craftsman's Cookbook 2, head Northwest and find a way to drop down to your left. Once you do so, head South and continue dropping down small ledges. You will eventually see a structure in the distance. Continue to that and you will find a doorway leading in",Shadow of the Erdtree,midra-s-manse-abyssal-woods,shadow-of-the-erdtree,' ',1.0
Manse Hall,SoG/Location,' ',,,Midra's Manse,"Found just inside the doorway of Midra's Manse, found in the Southwest part of the Abyssal Woods",Shadow of the Erdtree,manse-hall-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Ghost,Ghost,' ',,,Midra's Manse,This ghost will speak to you upon entering Midra's Manse. You can speak to it for additional dialogue,Shadow of the Erdtree,ghost-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Painting Illusory Wall,Secret,' ',,,Midra's Manse,"To the East of the Manse Hall SoG, you will see a painting. Hit it and you will reveal a passageway",Shadow of the Erdtree,painting-illusory-wall-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Torn Diary Page,Key Item,' ',,,Midra's Manse,Head through the illusory wall and into the first room on the left to find this,Shadow of the Erdtree,torn-diary-page-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Lever 1,Event,' ',,,Midra's Manse,"Continue through the hallway and into the next room, then take the first left. Go in this room, take a right and another right between the wall and the pillar. Continue to the back of the room and you will see a doorway on the left. Pull the lever",Shadow of the Erdtree,lever-1-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Mad Craftsman's Cookbook 3,Cookbook,' ',,,Midra's Manse,Continue out and hug the wall on the right. Head straight back and climb up the ladder. Head to the doorway across the room. Turn right and head up the ladder at the end of the room. Walk across the broken flooring/rafters until you find a room to jump to on the right. Found on a corpse in this room,Shadow of the Erdtree,mad-craftsman-s-cookbook-3-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Midra's Library,SoG/Location,' ',,,Midra's Manse,"Head out the doorway, back to the rafters, and turn right. Go straight into the next room to find this SoG",Shadow of the Erdtree,midra-s-library-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Shortcut to Manse Hall,Shortcut,' ',,,Midra's Manse,"Head out the doorway and look for a ladder to the right. Climb down and turn around, go behind the shelf and into the room. Enter the doorway on the other side to open the shortcut",Shadow of the Erdtree,shortcut-to-manse-hall-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Large Painting Illusory Wall,Secret,' ',,,Midra's Manse,"In the room leading to the shortcut, strike the large painting and reveal the illusory wall",Shadow of the Erdtree,large-painting-illusory-wall-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Lever 2,Event,' ',,,Midra's Manse,"Continue through the new room and up the stairs, then up the ladder. Continue to the other side and pull the lever",Shadow of the Erdtree,lever-2-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Nanaya's Torch,Utility Item,' ',,,Midra's Manse,Jump to the platform to the North. Then again to the North. Turn left and head across the new path. Follow the rafters around the edges of the room to find this on a corpse,Shadow of the Erdtree,nanaya-s-torch-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Revered Spirit Ashes,Key Item,' ',,,Midra's Manse,Drop down to the North. Kill the giant enemy just below you to get this,Shadow of the Erdtree,revered-spirit-ashes-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Second Floor Chamber,SoG/Location,' ',,,Midra's Manse,Go up the stairs to the East. Continue through the first room and into the next room to find this,Shadow of the Erdtree,second-floor-chamber-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Shortcut Ladder,Shortcut,' ',,,Midra's Manse,Continue to the North to find a ladder to kick down,Shadow of the Erdtree,shortcut-ladder-midra-s-manse,shadow-of-the-erdtree,' ',1.0
"Midra, Lord of Frenzied Flame",Boss,' ',,,Midra's Manse,Go through the doorway to the East from the Second Floor Chamber SoG to find the boss gate to the left. Go through to fight this boss. Drops remembrance of the Lord of Frenzied Flame,Shadow of the Erdtree,midra-lord-of-frenzied-flame-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Remembrance of the Lord of Frenzied Flame,Remembrance,' ',,,Midra's Manse,"Dropped by Midra, Lord of Frenzied Flame in Midra's Manse",Shadow of the Erdtree,remembrance-of-the-lord-of-frenzied-flame-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Discussion Chamber,SoG/Location,' ',,,Midra's Manse,Found after defeating Midra,Shadow of the Erdtree,discussion-chamber-midra-s-manse,shadow-of-the-erdtree,' ',1.0
Hinterlands,Checkpoint,' ',,,Hinterlands,"To begin this section, return to the Shadow Keep, Back Gate SoG",Shadow of the Erdtree,hinterlands-hinterlands,shadow-of-the-erdtree,' ',1.0
Commander Gaius,Boss,' ',Scadu Altus,,,"Go back up to the Shadow Keep, Back Gate SoG, then continue through the doorway to the Northeast to encounter this boss. Drops the Remembrance of the Wild Boar Rider",Shadow of the Erdtree,commander-gaius-scadu-altus,shadow-of-the-erdtree,' ',1.0
Remembrance of the Wild Boar Rider,Remembrance,' ',Scadu Altus,,,"Dropped by Commander Gaius near the Shadow Keep, Back Gate SoG",Shadow of the Erdtree,remembrance-of-the-wild-boar-rider-scadu-altus,shadow-of-the-erdtree,' ',1.0
Scaduview,SoG/Location,' ',Scadu Altus,,,Head Northwest to find this SoG after defeating Commander Gaius,Shadow of the Erdtree,scaduview-scadu-altus,shadow-of-the-erdtree,' ',1.0
Albinauric's Shack,SoG/Location,' ',Scadu Altus,,,Head Northwest from the SoG and through the archway. Continue up the hill directly Northwest to find this,Shadow of the Erdtree,albinauric-s-shack-scadu-altus,shadow-of-the-erdtree,' ',1.0
Sharpshot Talisman,Talisman,' ',Scadu Altus,,,Found in the Albinauric's Shack in the back part of Shadow Keep in Scadu Altus,Shadow of the Erdtree,sharpshot-talisman-scadu-altus,shadow-of-the-erdtree,' ',1.0
Albinauric Wolf Rider,Enemy,' ',Scadu Altus,,,Found near the Albinauric's Shack in the back part of Shadow Keep in Scadu Altus. Kill it for the Gaius's Greaves,Shadow of the Erdtree,albinauric-wolf-rider-scadu-altus,shadow-of-the-erdtree,' ',1.0
Gaius's Greaves,Leg Armor,' ',Scadu Altus,,,Dropped by the Albinauric Wolf Rider near the Albinauric's Shack,Shadow of the Erdtree,gaius-s-greaves-scadu-altus,shadow-of-the-erdtree,' ',1.0
Scadutree Chalice,SoG/Location,' ',Scadu Altus,,,Continue North up the hill to find a large structure,Shadow of the Erdtree,scadutree-chalice-scadu-altus,shadow-of-the-erdtree,' ',1.0
Hinterland (SoG),SoG/Location,' ',,,Hinterlands,"Return to the room with the Marika statue, near the Shadow Keep, Back Gate SoG. Continue through the shortcut (or open it using the O Mother emote if you haven't already). You will find this just down the hill",Shadow of the Erdtree,hinterland-sog-hinterlands,shadow-of-the-erdtree,' ',1.0
Tree Sentinel Duo,Boss,' ',,,Hinterlands,"These will be patrolling the area directly East of the Hinterlands SoG. You can fight them separately or together. You can also summon Swordhand of Night Jolan nearby if you have done the first task of Count Ymir and spoken to Jolan already. NOTE: You need to lure them both and then summon Jolan. If you only aggro one, Jolan will return home and not aid in fighting the second one",Shadow of the Erdtree,tree-sentinel-duo-hinterlands,shadow-of-the-erdtree,' ',1.0
Shaman Village,SoG/Location,' ',,,Hinterlands,Return to the Hinterland SoG and head Southeast/East to find a path leading upward over a hill. This will take you to this location,Shadow of the Erdtree,shaman-village-hinterlands,shadow-of-the-erdtree,' ',1.0
Minor Erdtree (Incantation),Incantation,' ',,,Hinterlands,"Found in the field in the beginning of the Shaman Village location NOTE: This is an incantation, not a location",Shadow of the Erdtree,minor-erdtree-incantation-hinterlands,shadow-of-the-erdtree,' ',1.0
Golden Braid,Talisman,' ',,,Hinterlands,Continue up the hill South/Southwest and find this on a large tree,Shadow of the Erdtree,golden-braid-hinterlands,shadow-of-the-erdtree,' ',1.0
Spellmachinist's Bell Bearing,Bell Bearing,' ',,,Hinterlands,"Continue Southeast from the Golden Braid or from the Shaman Village and follow the path down to a lower cliff edge. Jump down the ledges until you are overlooking a balcony you can jump to. Jump to it, and inside on a corpse will be this bell bearing",Shadow of the Erdtree,spellmachinist-s-bell-bearing-hinterlands,shadow-of-the-erdtree,' ',1.0
Hinterland Bridge,SoG/Location,' ',,,Hinterlands,"Return down the path you came, then head Northeast toward a bridge. Cross the bridge to find this SoG",Shadow of the Erdtree,hinterland-bridge-hinterlands,shadow-of-the-erdtree,' ',1.0
Fingerstone Hill,SoG/Location,' ',,,Hinterlands,Continue from the Hinterland's Bridge SoG toward the East to find this grace,Shadow of the Erdtree,fingerstone-hill-hinterlands,shadow-of-the-erdtree,' ',1.0
Fallingstar Beast,Boss,' ',,,Hinterlands,"From the Fingerstone Hill SoG, continue Northeast and to a crater to find this boss. Defeat it to get the Gravitational Missile sorcery",Shadow of the Erdtree,fallingstar-beast-hinterlands,shadow-of-the-erdtree,' ',1.0
Gravitational Missile,Sorcery,' ',,,Hinterlands,Dropped by the Fallingstar Beast Northeast of the Fingerstone Hill SoG,Shadow of the Erdtree,gravitational-missile-hinterlands,shadow-of-the-erdtree,' ',1.0
Two Fingers (Gesture),Gesture,' ',,,Hinterlands,"Return to the Fingerstone Hill SoG, then continue making your way Southeast down the hill. Look to your left as you go for a cliff/ledge you can jump down (this should be about when the greenish colored smoke starts to show). Once you jump down, head directly North. You will find this on a corpse with both arms sticking straight up",Shadow of the Erdtree,two-fingers-gesture-hinterlands,shadow-of-the-erdtree,' ',1.0
Mausoleum Coffin,Mausoleum,' ',,,Hinterlands,Head Southeast from the Two Fingers gesture to find this near the ledge,Shadow of the Erdtree,mausoleum-coffin-hinterlands,shadow-of-the-erdtree,' ',1.0
Very Large Fingers,Enemy,' ',,,Hinterlands,Head directly South and look for a hole in the ground that you can drop down to. This will contain the Very Large Fingers enemy. Drops the Finger Creeper Ashes,Shadow of the Erdtree,very-large-fingers-hinterlands,shadow-of-the-erdtree,' ',1.0
Fingercreeper Ashes,Spirit Ashes,' ',,,Hinterlands,Dropped by the Very Large Fingers enemy in the Hinterlands,Shadow of the Erdtree,fingercreeper-ashes-hinterlands,shadow-of-the-erdtree,' ',1.0
Finger Ruins of Dheo,SoG/Location,' ',,,Hinterlands,Head South and follow the finger statues until you find the ruins,Shadow of the Erdtree,finger-ruins-of-dheo-hinterlands,shadow-of-the-erdtree,' ',1.0
Ring the 2nd Bell,Event,' ',,,Hinterlands,In the center of the ruins you can ring another bell for Count Ymir. Do so now and receive the Cerulean Seed Talisman +1,Shadow of the Erdtree,ring-the-2nd-bell-hinterlands,shadow-of-the-erdtree,' ',1.0
Cerulean Seed Talisman +1,Talisman,' ',,,Hinterlands,Obtained by ringing the bell in the Finger Ruins of Dheo for Count Ymir,Shadow of the Erdtree,cerulean-seed-talisman-1-hinterlands,shadow-of-the-erdtree,' ',1.0
Ruins Map 3,Quest Item,' ',Scadu Altus,,,Given to you by Count Ymir after ringing the second bell. Purchase any remaining sorceries you may need from him as this will unlock another one for you,Shadow of the Erdtree,ruins-map-3-scadu-altus,shadow-of-the-erdtree,' ',1.0
Ring the 3rd Bell,Event,' ',Scadu Altus,,,Return to the Finger Ruins of Miyr below Count Ymir's chair (You may need to reload so he disappears). Ring this bell and you will be teleported to the boss arena,Shadow of the Erdtree,ring-the-3rd-bell-scadu-altus,shadow-of-the-erdtree,' ',1.0
"Metyr, Mother of Fingers",Boss,' ',Scadu Altus,,,Found in the new location after ringing the Miyr bell and being teleported. Drops the Remembrance of the Mother of Fingers,Shadow of the Erdtree,metyr-mother-of-fingers-scadu-altus,shadow-of-the-erdtree,' ',1.0
Remembrance of the Mother of Fingers,Remembrance,' ',Scadu Altus,,,"Received for defeating Metyr, Mother of Fingers. NOTE: DO NOT DUPLICATE THIS REMEMBRANCE. The boss is required for the second playthrough, so there is no reason to duplicate this on your first playthrough unless you intend to fight every remembrance boss on both playthroughs",Shadow of the Erdtree,remembrance-of-the-mother-of-fingers-scadu-altus,shadow-of-the-erdtree,' ',1.0
Finger Birthing Grounds,SoG/Location,' ',Scadu Altus,,,"Found in the boss arena after defeating Metyr, Mother of Fingers",Shadow of the Erdtree,finger-birthing-grounds-scadu-altus,shadow-of-the-erdtree,' ',1.0
"Swordhand of Night, Jolan",Invader,' ',Scadu Altus,,,Return to the cathedral above and make your way to Count Ymir's chair. You will be invaded by Jolan,Shadow of the Erdtree,swordhand-of-night-jolan-scadu-altus,shadow-of-the-erdtree,' ',1.0
"Count Ymir, Mother of Fingers",Boss,' ',Scadu Altus,,,"Wait for Count Ymir to finish speaking after defeating Jolan, and he will begin attacking the player. Defeat him for the Maternal Staff and High Priest's Set.",Shadow of the Erdtree,count-ymir-mother-of-fingers-scadu-altus,shadow-of-the-erdtree,' ',1.0
